REGION,LEVEL,STATE,TYPE,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020
SOUTH,ELEMENTARY,VERACRUZ,PRIVATE,48770,51921,50833,49825,49255,49475,48656,48223
SOUTH,JR HIGH,VERACRUZ,PUBLIC,390114,404647,414503,412328,398514,387942,375089,361386
SOUTH,JR HIGH,VERACRUZ,PRIVATE,24558,27041,28510,28900,28043,27360,27276,26918
SOUTH,HIGH SCHOOL,VERACRUZ,PUBLIC,241851,272696,277353,290132,302059,305691,285629,278221
SOUTH,HIGH SCHOOL,VERACRUZ,PRIVATE,40145,41805,41393,41710,43600,43368,42619,38441
SOUTH,UNIVERSITY,VERACRUZ,PUBLIC,119631,125353,132568,139097,141690,146997,148713,149220
SOUTH,UNIVERSITY,VERACRUZ,PRIVATE,36221,35475,34865,35633,35445,35301,45125,47898
SOUTH,ELEMENTARY,YUCATÁN,PUBLIC,224973,220016,212702,209134,205764,204105,202460,203619
SOUTH,ELEMENTARY,YUCATÁN,PRIVATE,20770,20838,20970,21266,22004,22574,23848,25613
SOUTH,JR HIGH,YUCATÁN,PUBLIC,93101,96972,104776,104615,103572,98934,97160,95353
SOUTH,JR HIGH,YUCATÁN,PRIVATE,9156,10025,10875,11503,11313,10861,11830,12448
SOUTH,HIGH SCHOOL,YUCATÁN,PUBLIC,58808,63742,66230,71460,74543,80063,78051,76660
SOUTH,HIGH SCHOOL,YUCATÁN,PRIVATE,14843,15440,14828,15381,16145,17170,18792,18577
SOUTH,UNIVERSITY,YUCATÁN,PUBLIC,30982,32289,32974,33746,34057,34618,40460,40976
